year,weeknum,province,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_death,total_death,update_date
2024,40,ลำพูน,1,126,1,126,0,1,2024-10-13 18:11:06
2024,40,สุราษฎร์ธานี,5,966,5,966,0,9,2024-10-13 18:11:06
2024,40,พิษณุโลก,2,495,2,495,0,1,2024-10-13 18:11:06
2024,40,เชียงใหม่,11,1060,11,1060,0,4,2024-10-13 18:11:06
2024,40,มหาสารคาม,0,42,0,42,0,0,2024-10-13 18:11:06
2024,40,ชัยนาท,0,46,0,46,0,1,2024-10-13 18:11:06
2024,40,สกลนคร,1,86,1,86,0,0,2024-10-13 18:11:06
2024,40,เลย,1,484,1,484,0,0,2024-10-13 18:11:06
2024,40,บุรีรัมย์,0,588,0,588,0,0,2024-10-13 18:11:06
2024,40,เชียงราย,0,192,0,192,0,0,2024-10-13 18:11:06
2024,40,นครศรีธรรมราช,2,678,2,678,0,0,2024-10-13 18:11:06
2024,40,แพร่,0,139,0,139,0,0,2024-10-13 18:11:06
2024,40,สิงห์บุรี,0,166,0,166,0,1,2024-10-13 18:11:06
2024,40,กระบี่,5,200,5,200,0,1,2024-10-13 18:11:06
2024,40,บึงกาฬ,0,59,0,59,0,0,2024-10-13 18:11:06
2024,40,ลพบุรี,0,132,0,132,0,1,2024-10-13 18:11:06
2024,40,กำแพงเพชร,0,123,0,123,0,0,2024-10-13 18:11:06
2024,40,สุโขทัย,1,105,1,105,0,3,2024-10-13 18:11:06
2024,40,อุตรดิตถ์,0,219,0,219,0,5,2024-10-13 18:11:06
2024,40,ชัยภูมิ,1,171,1,171,0,1,2024-10-13 18:11:06
2024,40,พังงา,0,15,0,15,0,0,2024-10-13 18:11:06
2024,40,นครราชสีมา,13,1959,13,1959,0,4,2024-10-13 18:11:06
2024,40,ไม่ระบุ,16,1711,16,1711,0,0,2024-10-13 18:11:06
2024,40,อุบลราชธานี,5,822,5,822,0,3,2024-10-13 18:11:06
2024,40,ฉะเชิงเทรา,2,275,2,275,0,2,2024-10-13 18:11:06
2024,40,ระยอง,3,482,3,482,0,2,2024-10-13 18:11:06
2024,40,ตรัง,0,360,0,360,0,0,2024-10-13 18:11:06
2024,40,กรุงเทพมหานคร,187,7221,187,7221,0,23,2024-10-13 18:11:06
2024,40,พะเยา,0,312,0,312,0,1,2024-10-13 18:11:06
2024,40,สุพรรณบุรี,0,334,0,334,0,13,2024-10-13 18:11:06
2024,40,ยะลา,1,108,1,108,0,0,2024-10-13 18:11:06
2024,40,ศรีสะเกษ,2,76,2,76,0,0,2024-10-13 18:11:06
2024,40,ประจวบคีรีขันธ์,1,245,1,245,0,4,2024-10-13 18:11:06
2024,40,สตูล,0,12,0,12,0,0,2024-10-13 18:11:06
2024,40,สงขลา,1,1045,1,1045,0,0,2024-10-13 18:11:06
2024,40,ตราด,1,349,1,349,0,4,2024-10-13 18:11:06
2024,40,ร้อยเอ็ด,3,500,3,500,0,0,2024-10-13 18:11:06
2024,40,พระนครศรีอยุธยา,1,275,1,275,0,6,2024-10-13 18:11:06
2024,40,นนทบุรี,6,1095,6,1095,0,2,2024-10-13 18:11:06
2024,40,จันทบุรี,3,784,3,784,0,6,2024-10-13 18:11:06
2024,40,ตาก,1,344,1,344,0,1,2024-10-13 18:11:06
2024,40,อ่างทอง,1,138,1,138,0,5,2024-10-13 18:11:06
2024,40,สมุทรปราการ,3,723,3,723,0,6,2024-10-13 18:11:06
2024,40,ยโสธร,0,186,0,186,0,1,2024-10-13 18:11:06
2024,40,อุดรธานี,3,675,3,675,0,0,2024-10-13 18:11:06
2024,40,ชลบุรี,16,3097,16,3097,0,19,2024-10-13 18:11:06
2024,40,อำนาจเจริญ,1,52,1,52,0,1,2024-10-13 18:11:06
2024,40,ชุมพร,5,1161,5,1161,0,0,2024-10-13 18:11:06
2024,40,มุกดาหาร,0,87,0,87,0,0,2024-10-13 18:11:06
2024,40,ระนอง,0,4,0,4,0,0,2024-10-13 18:11:06
2024,40,กาฬสินธุ์,4,246,4,246,0,0,2024-10-13 18:11:06
2024,40,นครปฐม,2,263,2,263,0,2,2024-10-13 18:11:06
2024,40,กาญจนบุรี,0,65,0,65,0,12,2024-10-13 18:11:06
2024,40,ปัตตานี,0,29,0,29,0,0,2024-10-13 18:11:06
2024,40,พัทลุง,2,162,2,162,0,0,2024-10-13 18:11:06
2024,40,นครพนม,1,150,1,150,0,0,2024-10-13 18:11:06
2024,40,สมุทรสงคราม,0,105,0,105,0,4,2024-10-13 18:11:06
2024,40,เพชรบุรี,2,253,2,253,0,2,2024-10-13 18:11:06
2024,40,ขอนแก่น,13,1257,13,1257,0,0,2024-10-13 18:11:06
2024,40,ลำปาง,1,183,1,183,0,1,2024-10-13 18:11:06
2024,40,นครนายก,0,21,0,21,0,3,2024-10-13 18:11:06
2024,40,ทั้งประเทศ,353,39697,353,39697,0,211,2024-10-13 18:11:06
2024,40,สมุทรสาคร,5,625,5,625,0,12,2024-10-13 18:11:06
2024,40,ราชบุรี,2,603,2,603,0,7,2024-10-13 18:11:06
2024,40,สระแก้ว,0,419,0,419,0,11,2024-10-13 18:11:06
2024,40,หนองคาย,1,424,1,424,0,0,2024-10-13 18:11:06
2024,40,พิจิตร,2,255,2,255,0,1,2024-10-13 18:11:06
2024,40,สระบุรี,0,297,0,297,0,7,2024-10-13 18:11:06
2024,40,อุทัยธานี,0,159,0,159,0,1,2024-10-13 18:11:06
2024,40,สุรินทร์,0,709,0,709,0,11,2024-10-13 18:11:06
2024,40,หนองบัวลำภู,0,80,0,80,0,0,2024-10-13 18:11:06
2024,40,เพชรบูรณ์,3,425,3,425,0,0,2024-10-13 18:11:06
2024,40,ภูเก็ต,3,805,3,805,0,1,2024-10-13 18:11:06
2024,40,น่าน,1,217,1,217,0,2,2024-10-13 18:11:06
2024,40,นครสวรรค์,2,511,2,511,0,0,2024-10-13 18:11:06
2024,40,ปราจีนบุรี,0,108,0,108,0,0,2024-10-13 18:11:06
2024,40,นราธิวาส,2,69,2,69,0,0,2024-10-13 18:11:06
2024,40,แม่ฮ่องสอน,0,43,0,43,0,0,2024-10-13 18:11:06
2024,40,ปทุมธานี,2,690,2,690,0,3,2024-10-13 18:11:06
